Z,Symbol,Name,Period,Group,I_eV,A_eV,chi,alpha_au,eta_eV,phi_star,phase,color
1,H,Hydrogen,1,1,13.5984,0.754,2.2,4.50711,12.8444,-0.3271245534571048,Z,white
2,He,Helium,1,18,24.5874,0,0,1.38375,24.5874,-3.713269426660166,1,blue
3,Li,Lithium,2,1,5.3917,0.618,0.98,164.1125,4.7737,0.7328038394415834,E,red
4,Be,Beryllium,2,2,9.3227,0,1.57,,9.3227,-0.11586140280091162,Z,white
5,B,Boron,2,13,8.298,0.277,2.04,,8.021,0.4604301514412723,Z,white
6,C,Carbon,2,14,11.2603,1.263,2.55,11.3,9.997300000000001,0.37445412871097494,Z,white
7,N,Nitrogen,2,15,14.5341,0,3.04,,14.5341,0.5940654913512218,E,red
8,O,Oxygen,2,16,13.6181,1.461,3.44,5.3,12.1571,0.8760040639960522,E,red
9,F,Fluorine,2,17,17.4228,3.401,3.98,,14.021799999999999,1.5005382677271681,E,red
10,Ne,Neon,2,18,21.5645,0,0,,21.5645,-2.969947569435863,1,blue
11,Na,Sodium,3,1,5.1391,0.548,0.93,162.7,4.5911,0.6985920660517743,E,red
12,Mg,Magnesium,3,2,7.6462,0,1.31,,7.6462,-0.15259632924579997,Z,white
13,Al,Aluminum,3,13,5.9858,0.441,1.61,,5.5448,0.3647830743671102,Z,white
14,Si,Silicon,3,14,8.1517,1.385,1.9,,6.7667,0.4820274641933385,Z,white
15,P,Phosphorus,3,15,10.4867,0.746,2.19,,9.7407,0.3930598541691693,Z,white
16,S,Sulfur,3,16,10.36,2.077,2.58,,8.283,0.9156965505574151,E,red
17,Cl,Chlorine,3,17,12.9676,3.613,3.16,14.6,9.3546,1.02419421591879,E,red
18,Ar,Argon,3,18,15.7596,0,0,,15.7596,-2.2867445342600323,1,blue
19,K,Potassium,4,1,4.3407,0.501,0.82,,3.8397,-0.14568618236923292,Z,white
20,Ca,Calcium,4,2,6.1132,0.025,1,,6.0882,-0.24828748806690215,Z,white
21,Sc,Scandium,4,3,6.5615,0.188,1.36,,6.3735,0.0422025435204198,Z,white
22,Ti,Titanium,4,4,6.8281,0.084,1.54,,6.7441,0.1606191674609339,Z,white
23,V,Vanadium,4,5,6.7462,0.525,1.63,,6.2212,0.3031785086498725,Z,white
24,Cr,Chromium,4,6,6.7665,0.666,1.66,,6.100499999999999,0.34438988016999034,Z,white
25,Mn,Manganese,4,7,7.434,0,1.55,,7.434,0.08842383606205789,Z,white
26,Fe,Iron,4,8,7.9024,0.151,1.83,56.7,7.7514,0.33434566599809595,Z,white
27,Co,Cobalt,4,9,7.881,0.661,1.88,,7.220000000000001,0.4106728973091296,Z,white
28,Ni,Nickel,4,10,7.6398,1.156,1.91,,6.4838000000000005,0.5243250461295841,E,red
29,Cu,Copper,4,11,7.7264,1.228,1.9,,6.4984,0.5136048168329491,E,red
30,Zn,Zinc,4,12,9.3942,0,1.65,,9.3942,-0.05226138543132994,Z,white
31,Ga,Gallium,4,0,5.9993,0.3,1.81,,5.6993,0.5266372020307611,E,red
32,Ge,Germanium,4,0,7.8994,1.233,2.01,,6.666399999999999,0.5928530264706046,E,red
33,As,Arsenic,4,0,9.7886,0.804,2.18,,8.9846,0.47304654130692825,Z,white
34,Se,Selenium,4,0,9.7524,2.021,2.55,,7.7314,0.953610986639273,E,red
35,Br,Bromine,4,0,11.8138,3.364,2.96,,8.4498,1.2381371323918167,E,red
36,Kr,Krypton,4,0,13.9996,0,3,,13.9996,0.6209654626478167,E,red
37,Rb,Rubidium,5,0,4.1771,0.486,0.82,,3.6911000000000005,-0.12819682492515494,Z,white
38,Sr,Strontium,5,0,5.6949,0.052,0.95,,5.6429,-0.2408877330476169,Z,white
39,Y,Yttrium,5,0,6.2173,0.307,1.22,,5.910299999999999,-0.02930802174911651,Z,white
40,Zr,Zirconium,5,0,6.6339,0.426,1.33,,6.2078999999999995,0.03468702015803771,Z,white
41,Nb,Niobium,5,0,6.7589,0.893,1.6,,5.8659,0.3179895741646211,Z,white
42,Mo,Molybdenum,5,0,7.0924,0.748,2.16,,6.344399999999999,0.7657789680516249,E,red
43,Tc,Technetium,5,0,7.28,0.55,1.9,,6.73,0.4863468411664048,Z,white
44,Ru,Ruthenium,5,0,7.3605,1.05,2.2,,6.3105,0.8057763774496057,E,red
45,Rh,Rhodium,5,0,7.4589,1.137,2.28,,6.321899999999999,0.8764498159658165,E,red
46,Pd,Palladium,5,0,8.3369,0.562,2.2,,7.7749,0.6334249976305759,E,red
47,Ag,Silver,5,0,7.5762,1.302,1.93,,6.2742,0.5669975375822867,E,red
48,Cd,Cadmium,5,0,8.9938,0,1.69,,8.9938,0.030870946599589,Z,white
49,In,Indium,5,0,5.7864,0.3,1.78,,5.486400000000001,0.5246886141132303,E,red
50,Sn,Tin,5,0,7.3439,1.2,1.96,,6.1438999999999995,0.6093387733787381,E,red
51,Sb,Antimony,5,0,8.6084,1.07,2.05,,7.538399999999999,0.5262312642091624,E,red
52,Te,Tellurium,5,0,9.0096,1.971,2.1,,7.038600000000001,0.6300642933109952,E,red
53,I,Iodine,5,0,10.4513,3.059,2.66,,7.3923,1.092541922790334,E,red
54,Xe,Xenon,5,0,12.1298,0,2.6,,12.1298,0.4809543075810594,Z,white
55,Cs,Cesium,6,0,3.8939,0.472,0.79,,3.4219,-0.1235192296387716,Z,white
56,Ba,Barium,6,0,5.2117,0.144,0.89,,5.0677,-0.22720139608223944,Z,white
57,La,Lanthanum,6,0,5.5769,0.47,1.1,,5.1069,-0.042775233639997245,Z,white
58,Ce,Cerium,6,0,5.5387,0.5,1.12,,5.0387,-0.016744701424122543,Z,white
59,Pr,Praseodymium,6,0,5.473,0.5,1.13,,4.973,-0.00001029873992108854,Z,white
60,Nd,Neodymium,6,0,5.525,0.5,1.14,,5.025,0.002871497139650625,Z,white
61,Pm,Promethium,6,0,5.582,0.5,1.13,,5.082,-0.012838966044123601,Z,white
62,Sm,Samarium,6,0,5.6437,0.5,1.17,,5.1437,0.015906878268703406,Z,white
63,Eu,Europium,6,0,5.6704,0.5,1.2,,5.1704,0.039770125379284926,Z,white
64,Gd,Gadolinium,6,0,6.1498,0.5,1.2,,5.6498,-0.016652471920116207,Z,white
65,Tb,Terbium,6,0,5.8638,0.5,1.1,,5.3638,-0.07301087245146187,Z,white
66,Dy,Dysprosium,6,0,5.9389,0.5,1.22,,5.4389,0.02617302198667326,Z,white
67,Ho,Holmium,6,0,6.0215,0.5,1.23,,5.5215,0.02545337548543236,Z,white
68,Er,Erbium,6,0,6.1077,0.5,1.24,,5.6077,0.024310029880566297,Z,white
69,Tm,Thulium,6,0,6.1843,0.5,1.25,,5.6843,0.02429654855203356,Z,white
70,Yb,Ytterbium,6,0,6.2542,0.5,1.1,,5.7542,-0.11895868635568829,Z,white
71,Lu,Lutetium,6,0,5.4259,0.34,1.27,,5.0859000000000005,0.11272854319624048,Z,white
72,Hf,Hafnium,6,0,6.8251,0,1.3,,6.8251,-0.06495951940370015,Z,white
73,Ta,Tantalum,6,0,7.5496,0.322,1.5,,7.2276,0.06770644778800372,Z,white
74,W,Tungsten,6,0,7.864,0.816,2.36,,7.048,0.863007212992912,E,red
75,Re,Rhenium,6,0,7.8335,0.15,1.9,,7.6834999999999996,0.37412542580349517,Z,white
76,Os,Osmium,6,0,8.4382,1.1,2.2,,7.3382000000000005,0.6848220527842022,E,red
77,Ir,Iridium,6,0,8.967,1.564,2.2,,7.4030000000000005,0.6771954689189514,E,red
78,Pt,Platinum,6,0,8.9588,2.125,2.28,,6.8338,0.8162021573142448,E,red
79,Au,Gold,6,0,9.2255,2.309,2.54,,6.9165,1.0405180924695743,E,red
80,Hg,Mercury,6,0,10.4375,0,2,,10.4375,0.14001455196078622,Z,white
81,Tl,Thallium,6,0,6.1082,0.2,1.62,,5.9082,0.33101489778311616,Z,white
82,Pb,Lead,6,0,7.4167,0.356,2.33,,7.0607,0.8345068145815455,E,red
83,Bi,Bismuth,6,0,7.2856,0.946,2.02,,6.3396,0.6403173835871668,E,red
84,Po,Polonium,6,0,8.417,1.9,2,,6.5169999999999995,0.6014346452279994,E,red
85,At,Astatine,6,0,9.318,2.8,2.2,,6.518,0.7813548318934403,E,red
86,Rn,Radon,6,0,10.7485,0,0,,10.7485,-1.6969671514335223,1,blue
87,Fr,Francium,7,0,4.073,0.5,0.7,,3.5730000000000004,-0.2223198689588799,Z,white
88,Ra,Radium,7,0,5.2784,0.1,0.9,,5.178400000000001,-0.23122824947566478,Z,white
89,Ac,Actinium,7,0,5.38,0.35,1.1,,5.03,-0.03372455000978458,Z,white
90,Th,Thorium,7,0,6.3067,0,1.3,,6.3067,-0.003946848481694465,Z,white
91,Pa,Protactinium,7,0,5.89,0.5,1.5,,5.39,0.2839813013494961,Z,white
92,U,Uranium,7,0,6.1941,0,1.38,,6.1941,0.08132067027049,Z,white
93,Np,Neptunium,7,0,6.266,0.5,1.36,,5.766,0.11370176725714515,Z,white
94,Pu,Plutonium,7,0,6.026,0,1.28,,6.026,0.011086124095424199,Z,white
95,Am,Americium,7,0,5.974,0.5,1.3,,5.474,0.09405710807068612,Z,white
96,Cm,Curium,7,0,5.992,0.5,1.3,,5.492,0.09193861255256097,Z,white
97,Bk,Berkelium,7,0,6.198,0.5,1.3,,5.698,0.0676936082895725,Z,white
98,Cf,Californium,7,0,6.282,0.5,1.3,,5.782,0.05780729587165501,Z,white
99,Es,Einsteinium,7,0,6.42,0.5,1.3,,5.92,0.04156549689936184,Z,white
100,Fm,Fermium,7,0,6.5,0.5,1.3,,6,0.03214996126324987,Z,white
101,Md,Mendelevium,7,0,6.58,0.5,1.3,,6.08,0.02273442562713779,Z,white
102,No,Nobelium,7,0,6.65,0.5,1.3,,6.15,0.014495831945539828,Z,white
103,Lr,Lawrencium,7,0,4.9,0.5,1.3,,4.4,0.22046067398548952,Z,white
104,Rf,Rutherfordium,7,0,6,0,0,,6,-1.1380962643325503,1,blue
105,Db,Dubnium,7,0,6.8,0,0,,6.8,-1.2322516206936702,1,blue
106,Sg,Seaborgium,7,0,7.8,0,0,,7.8,-1.34994581614507,1,blue
107,Bh,Bohrium,7,0,7.7,0,0,,7.7,-1.33817639659993,1,blue
108,Hs,Hassium,7,0,7.6,0,0,,7.6,-1.32640697705479,1,blue
109,Mt,Meitnerium,7,0,8,0,0,,8,-1.37348465523535,1,blue
110,Ds,Darmstadtium,7,0,9.6,0,0,,9.6,-1.5617953679575896,1,blue
111,Rg,Roentgenium,7,0,10.7,0,0,,10.7,-1.6912589829541294,1,blue
112,Cn,Copernicium,7,0,11.8,0,0,,11.8,-1.8207225979506694,1,blue
113,Nh,Nihonium,7,0,7.3,0,0,,7.3,-1.29109871841937,1,blue
114,Fl,Flerovium,7,0,8.6,0,0,,8.6,-1.4441011725061899,1,blue
115,Mc,Moscovium,7,0,5.5,0,0,,5.5,-1.0792491666068504,1,blue
116,Lv,Livermorium,7,0,6.8,0,0,,6.8,-1.2322516206936702,1,blue
117,Ts,Tennessine,7,0,7.7,0,0,,7.7,-1.33817639659993,1,blue
118,Og,Oganesson,7,0,8.9,0,0,,8.9,-1.47940943114161,1,blue
